Keyword,Course URL,ชื่อหลักสูตร,ชื่อหลักสูตรภาษาอังกฤษ,ประเภทหลักสูตร,วิทยาเขต,ค่าใช้จ่าย,อัตราการสำเร็จการศึกษา,,รอบ 1 Portfolio,รอบ 2 Quota,รอบ 3 Admission,รอบ 4 Direct Admission,ค่ามัธยฐานเงินเดือน,อัตราการได้งานทำ,สาขาวิชา
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10010121300501A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,,รับ60คน,ไม่เปิดรับสมัครในรอบนี้,รับ80คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10010121300599A,หลักสูตรวิศวกรรมศาสตรบัณฑิต สาขาวิชาวิศวกรรมคอมพิวเตอร์และเทคโนโลยีดิจิทัล,Bachelor of Engineering Program in Computer Engineering and Digital Technology,ภาษาไทย ปกติ,วิทยาเขตหลัก,"ภาคการศึกษาต้นและภาคการศึกษาปลาย ภาคการศึกษาละ 25,500 บาท ภาคฤดูร้อน(ถ้ามี) ภาคการศึกษาละ 6,375 บาท ดูรายละเอียดเพิ่มเติม https://www.reg.chula.ac.th/th/information/fee/",ร้อยละ 86.8 ต่อปีการศึกษา,,รับ220คน,รับ10คน,รับ105คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020105300501A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,บางเขน,,,,รับ36คน,รับ14คน,รับ35คน,ไม่เปิดรับสมัครในรอบนี้,0.00,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020220300501A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,กำแพงแสน,"156,000",,,รับ20คน,รับ20คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,-,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020328300502A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์และสารสนเทศศาสตร์,B.Eng. (Computer Engineering and Informatics),ภาษาไทย ปกติ,ศรีราชา,"232,800",ร้อยละ 60.38,,รับ53คน,รับ34คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,"22,805.26",ร้อยละ 80.28,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10020430300501A,วศ.บ. สาขาวิชาวิศวกรรมคอมพิวเตอร์,B.Eng. (Computer Engineering),ภาษาไทย ปกติ,เฉลิมพระเกียรติ จ.สกลนคร,,,,รับ92คน,รับ86คน,รับ40คน,รับ15คน,0.00,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10030104300501A,วิศวกรรมศาสตรบัณฑิต (วิศวกรรมคอมพิวเตอร์) วิศวกรรมคอมพิวเตอร์,Bachelor of Engineering (Computer Engineering),ภาษาไทย ปกติ,ขอนแก่น,ค่าธรรมเนียมการศึกษา (ชาวไทย) 20000 บาท/เทอม,,,รับ32คน,รับ38คน,รับ34คน,ไม่เปิดรับสมัครในรอบนี้,,,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10040106300501A,วศ.บ.วิศวกรรมคอมพิวเตอร์,,ภาษาไทย ปกติ,วิทยาเขตหลัก,"184,000",61.50%,,รับ69คน,รับ43คน,รับ10คน,ไม่เปิดรับสมัครในรอบนี้,"23,188",53.13%,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10040106300502E,วศ.บ.วิศวกรรมระบบสารสนเทศและเครือข่าย,,นานาชาติ,วิทยาเขตหลัก,"400,000",69.44%,,รับ31คน,รับ38คน,รับ8คน,รับ12คน,"25,000",62.50%,
วิศวกรรมคอมพิวเตอร์,https://course.mytcas.com/programs/10050210300501A,วศ.บ.สาขาวิชาวิศวกรรมคอมพิวเตอร์,Bachelor of Engineering Program in Computer Engineering,ภาษาไทย ปกติ,ศูนย์รังสิต,"18,900 บาท ต่อภาคการศึกษา",ร้อยละ 50,,รับ18คน,รับ23คน,รับ30คน,ไม่เปิดรับสมัครในรอบนี้,"29,000 บาท",ร้อยละ 100,
